Mark_id,Iteration,predicted,avocado,curr_impute,ideas
M25,0,0.1733,0.1953,0.2664,False
M25,1,0.1786,0.2005,0.2736,False
M25,2,0.1724,0.1891,0.2577,False
M25,3,0.1714,0.192,0.2624,False
M25,0,0.1729,0.1953,0.2664,True
M25,1,0.1769,0.2005,0.2736,True
M25,2,0.1698,0.1891,0.2577,True
M25,3,0.1713,0.192,0.2624,True
M03,0,0.1067,0.1181,0.2546,False
M03,1,0.1053,0.1173,0.255,False
M03,2,0.1079,0.1195,0.2601,False
M03,3,0.1077,0.1199,0.2613,False
M03,0,0.1064,0.1181,0.2546,True
M03,1,0.1058,0.1173,0.255,True
M03,2,0.1081,0.1195,0.2601,True
M03,3,0.1075,0.1199,0.2613,True
M21,0,0.1319,0.1523,0.3132,False
M21,1,0.1318,0.1493,0.3041,False
M21,2,0.1339,0.1541,0.3129,False
M21,3,0.1332,0.1519,0.3134,False
M21,0,0.1315,0.1523,0.3132,True
M21,1,0.1315,0.1493,0.3041,True
M21,2,0.1337,0.1541,0.3129,True
M21,3,0.1332,0.1519,0.3134,True
